,val_loss,val_mae,loss,mae
0,1771.1340924605583,37.94904327392578,1842.2132027141486,39.237327575683594
1,1759.082092482681,37.79148483276367,1830.7868612838795,39.09038543701172
2,1744.609450454465,37.60055923461914,1817.6496384506472,38.91867446899414
3,1726.8311175003792,37.36420822143555,1801.2452475538532,38.70549392700195
4,1704.4903726423443,37.06481170654297,1781.203070878211,38.443115234375
5,1675.9704088130816,36.683624267578125,1755.775875350804,38.104400634765625
6,1639.1562551356442,36.1947021484375,1722.9130239147198,37.669979095458984
7,1591.23969276206,35.5577507019043,1680.669208020454,37.10250473022461
8,1530.6002015542829,34.733333587646484,1625.6083387850172,36.36163330078125
9,1455.7097491909385,33.68316650390625,1557.2977879595217,35.40216064453125
10,1365.3810106789795,32.386390686035156,1474.0194696222695,34.2125358581543
11,1260.6422992200141,30.8834285736084,1374.2568122345267,32.775291442871094
12,1142.678653260265,29.282318115234375,1261.3364218307545,31.200498580932617
13,1017.6244876207271,27.776473999023438,1135.8100795313765,29.571977615356445
14,890.8776717201406,26.41335678100586,1005.2137062048064,27.986011505126953
15,769.5433432569781,25.028348922729492,877.1687918357479,26.55027961730957
16,660.7639725077114,23.639108657836914,754.8885452616177,25.050678253173828
17,568.0057791799403,22.159011840820312,646.9870745711343,23.491558074951172
18,496.4776103689447,20.65996551513672,556.1022601575141,21.851268768310547
19,448.4065845082107,19.361692428588867,489.40808530147024,20.266225814819336
20,421.8171028211279,18.458885192871094,445.57228547624015,18.965585708618164
21,408.7190897426173,17.84872055053711,420.9403443567961,18.076406478881836
22,402.3955275649777,17.450469970703125,408.2447010027938,17.461681365966797
23,397.9869843023109,17.2547550201416,400.91152440537144,17.11637306213379
24,394.50431137331867,17.116918563842773,394.80063853834827,16.88176727294922
25,390.8670753059264,17.048194885253906,390.1159922775713,16.743915557861328
26,387.3210773159385,17.01779556274414,385.8284842975703,16.682558059692383
27,384.2219569135252,16.94667625427246,381.86052933479976,16.631784439086914
28,381.0026311287988,16.881847381591797,378.12619640757737,16.557903289794922
29,378.2802568454187,16.723318099975586,374.21484592277255,16.418712615966797
30,375.34541197347795,16.63372230529785,370.60872455090765,16.26654052734375
31,372.19457672020377,16.59060287475586,367.0699417459926,16.194000244140625
32,369.2833226274904,16.531415939331055,363.50521583927485,16.14836883544922
33,366.6336263020833,16.434329986572266,360.1406941336721,16.051816940307617
34,363.9548012940243,16.32402992248535,356.8172477055522,15.942950248718262
35,361.04253281281603,16.302892684936523,353.2931602502718,15.86555004119873
